,ID,Genus,Species
133,10800040,,
134,10800041,,
135,10800042,,
136,10800043,,
137,10800044,,
138,10800045,,
139,10800046,,
140,10800047,,
141,10800048,,
142,10800049,,
143,10800050,,
144,10800051,,
145,10800052,,
146,10800053,,
147,10800054,,
148,10800055,,
149,10800056,,
150,10800057,,
151,10800058,,
152,10800059,,
153,10800060,,
154,10800061,,
155,10800062,,
156,10800063,,
157,10800064,,
158,10800065,,
159,10800066,,
160,10800067,,
161,10800068,,
162,10800069,,
163,10800070,,
164,10800071,,
165,10800072,,
166,10800073,,
167,10800074,,
168,10800075,,
169,10800076,,
170,10800077,,
171,10800078,,
172,10800079,,
173,10800080,,
174,10800081,,
175,10800082,,
176,10800083,,
177,10800084,,
178,10800085,,
179,10800086,,
180,10800087,,
181,10800088,,
182,10800089,,
183,10800090,,
184,10800091,,
185,10800092,,
186,10800093,,
187,10800094,,
188,10800095,,
189,10800096,,
190,10800097,,
191,10800098,,
192,10800099,,
193,10800100,,
194,10800101,,
195,10800102,,
196,10800103,,
197,10800104,,
198,10800105,,
199,10800106,,
200,10800107,,
201,10800108,,
202,10800109,,
203,10800110,,
204,10800111,,
205,10800112,,
206,10800113,,
207,10800114,,
208,10800115,,
209,10800116,,
210,10800117,,
211,10800118,,
212,10800119,,
213,10800120,,
214,10800121,,
215,10900001,,
216,10900002,,
217,10900003,,
218,10900004,,
219,10900005,,
220,10900006,,
221,10900007,,
222,10900008,,
223,10900009,,
224,10900010,,
225,10900011,,
226,10900012,,
227,10900013,,
228,10900014,,
229,10900015,,
230,10900016,,
231,10900017,,
232,10900018,,
233,10900019,,
234,10900020,,
235,10900021,,
236,10900022,,
237,10900023,,
238,10900024,,
239,10900025,,
240,10900026,,
241,10900027,,
242,10900028,,
243,10900029,,
244,10900030,,
245,10900031,,
246,10900032,,
247,10900033,,
248,10900034,,
249,10900035,,
250,10900036,,
251,10900037,,
252,10900038,,
253,10900039,,
254,10900040,,
255,10900041,,
256,10900042,,
257,10900043,,
258,10900044,rufescens,
259,10900045,rufescens,
260,10900046,,
261,10900047,longicauda,
262,10900048,longicauda,
263,10900049,longicauda,
264,10900050,longicauda,
265,10900051,murina,
266,10900052,papuensis,
267,10900053,,
268,10900054,prattorum,
269,11000001,,
270,11000002,,
271,11000003,,
272,11000004,,
273,11000005,cinereus,
274,11000006,,
275,11000007,,
276,11000008,kreﬀtii,
277,11000009,kreﬀtii,
278,11000010,kreﬀtii,
279,11000011,kreﬀtii,
