,Scientific name,Common name,TypeLocality
1497,SPECIES yes,Ollala Brothers’ Titi,"Bolivia, El Beni Prov., La Laguna (5 km from Santa Rosa)."
1498,SPECIES yes,,"Colombia, Villavicencia, Rio Meta."
1499,SPECIES yes,White-coated Titi,"Paraguay, Chaco, 48 km north of Concepcion."
1500,SPECIES yes,,"Brazil, Espírito Santo, Rio Doce (see Hershkovitz, 1990<i>b</i>)."
1501,SPECIES yes,,"Brazil, state of Amazonas, Lago Ayapua, left bank of lower Rio Purus."
1502,SPECIES yes,Red-headed Titi,"Brazil, state of Amazonas, Fonte Boa, right bank of upper Rio Solimoes."
1503,SPECIES yes,Stephen Nash’s Titi,Brazil: somewhere along the middle to upper Rio Purus.
1504,SPECIES yes,,"Brazil, Codajás, north bank of Rio Solimőes."
1505,SUBFAMILY yes,,
1506,GENUS yes,,
1507,SPECIES yes,,"Brazil, Amazonas, Fonte Boa."
1508,SUBSPECIES yes,,"Brazil, Amazonas, Fonte Boa."
1509,SUBSPECIES yes,,
1510,SUBSPECIES yes,,
1511,SUBSPECIES yes,,
1512,SPECIES yes,Black-headed Uacari,"Venezuela, Casiquiare Forests, Mision de San Francisco Solano."
1513,GENUS yes,,
1514,SPECIES yes,White-nosed Saki,"Brazil, Pará, Santarém.
NC Brazil."
1515,SPECIES yes,Red-backed Bearded Saki,"Reported to be Venezuela, Amazonas, upper Rio Orinoco south of the cataracts; but according to Bonvicino et al. (2003<i>b</i>) does not occur in Venezuela."
1516,SPECIES yes,Brown-backed Bearded Saki,"Brazil, Rio Negro."
1517,SPECIES yes,Black Bearded Saki,"Brazil, Pará, lower Rio Tocantins, Cametá."
1518,SPECIES yes,Uta Hick’s Bearded Saki,"Brazil, Tapará, right (east) bank of Rio Xingu, near mouth."
1519,GENUS yes,,
1520,SPECIES yes,,"Peru, Loreto, lower Rio Nanay, Santa Luisa."
1521,SPECIES yes,White-footed Saki,"Brazil, Amazonas, Tefé (south bank of Solimőes River)."
1522,SPECIES yes,Rio Tapajos Saki,"Brazil, Pará, West bank of Rio Tapajós, Parque Nacional de Amazônia."
1523,SPECIES yes,,"Brazil, left bank of Rio Solimőes between Tabatinga and Rio Tocantins."
1524,SUBSPECIES yes,,"Brazil, left bank of Rio Solimőes between Tabatinga and Rio Tocantins."
1525,SUBSPECIES yes,,
1526,SPECIES yes,White-faced Saki,"French Guiana, Cayenne."
1527,SUBSPECIES yes,,"French Guiana, Cayenne."
1528,SUBSPECIES yes,,
1529,FAMILY yes,,
1530,SUBFAMILY yes,,
1531,GENUS yes,,
1532,SPECIES yes,Red-handed Howler,"Brazil, Pará, Rio Capim."
1533,SPECIES yes,,Paraguay.
1534,SPECIES yes,Coiba Island Howler,"Panama, Coiba Isl."
1535,SUBSPECIES yes,,"Panama, Coiba Isl."
1536,SUBSPECIES yes,,
1537,SPECIES yes,,Brazil.
1538,SUBSPECIES yes,,Brazil.
1539,SUBSPECIES yes,,
1540,SPECIES yes,Guyanan Red Howler,Guyana: coast region.
1541,SPECIES yes,Amazon Black Howler,"Brazil, Amazonas, Patinga."
1542,SPECIES yes,,"Nicaragua, Lake Nicaragua."
1543,SPECIES yes,Guatemalan Black Howler,"Guatemala, Petén, Uaxactun."
1544,SPECIES yes,Bolivian Red Howler,"Bolivia, Sara Prov., Santa Cruz."
1545,SPECIES yes,Venezuelan Red Howler,"Colombia, Bolivar, Rio Magdalena, Cartagena."
1546,SUBSPECIES yes,,"Colombia, Bolivar, Rio Magdalena, Cartagena."
1547,FALSE Cabrera,,
1548,FALSE Elliot,,
1549,FALSE Gray,,
1550,FALSE É. Geoﬀroy,,
1551,FALSE É. Geoﬀroy,White-fronted Spider Monkey,"Venezuela, Esmeralda."
1552,FALSE Humboldt,Peruvian Spider Monkey,"Peru, Cuzco, Rio Comberciato."
1553,FALSE Gray,Black-headed Spider Monkey,"NW Ecuador, Imbabura Prov., Hacienda Chinipamba, 1500 m."
1554,FALSE Gray,,"NW Ecuador, Imbabura Prov., Hacienda Chinipamba, 1500 m."
1555,FALSE Sclater,,
1556,FALSE Kuhl,Geoﬀroy’s Spider Monkey,"Nicaragua, San Juan del Norte."
1557,FALSE Kuhl,,"Nicaragua, San Juan del Norte."
1558,FALSE Gray,,
1559,FALSE Gray,,
1560,FALSE Gray,,
1561,FALSE Kellogg and Goldman,,
1562,FALSE I. Geoﬀroy,Brown Spider Monkey,"Colombia, valley of Rio Magdalena, La Gloria."
1563,FALSE É. Geoﬀroy,White-cheeked Spider Monkey,"Brazil, Rio Tocantins, Cametá."
1564,FALSE Linnaeus,Red-faced Spider Monkey,French Guiana.
1565,FALSE Spix,,
1566,FALSE É. Geoﬀroy,Southern Muriqui,"Brazil, Rio de Janeiro."
1567,FALSE Kuhl,Northern Muriqui,"Brazil, Bahia."
1568,FALSE É. Geoﬀroy,,
1569,FALSE É. Geoﬀroy,Gray Woolly Monkey,"Brazil, S bank of Rio Solimoes near mouth of Rio Tefé."
1570,FALSE É. Geoﬀroy,,"Brazil, S bank of Rio Solimoes near mouth of Rio Tefé."
1571,FALSE Pucheran,,
1572,FALSE Humboldt,Brown Woolly Monkey,"Colombia, Úapes, Rio Guaviare."
1573,FALSE Elliot,Colombian Woolly Monkey,"Colombia, Upper Rio Magdalena valley, Tolima, 2°20’N, 1500-2100 m."
1574,FALSE Schinz,Silvery Woolly Monkey,"Peru, Loreto, lower Rio Huallaga, north of Yurimaguas."
1575,FALSE Thomas,,
1576,FALSE Humboldt,Yellow-tailed Woolly Monkey,"Peru, San Martin, Puca Tambo, 5100 ft. (1555 m)."
1577, Gray,,
1578,FALSE Gray,,
1579,FALSE Gray,,
1580,FALSE Lang,,
1581,FALSE Pocock,Allen’s Swamp Monkey,"Dem. Rep. Congo, upper Congo River."
1582,FALSE É. Geoﬀroy,,
1583,FALSE Milne-Edwards,Agile Mangabey,
1584,FALSE Audebert,Sooty Mangabey,West Africa.
1585,FALSE Audebert,,West Africa.
1586,FALSE Temminick,,
1587,FALSE Lydekker,Golden-bellied Mangabey,Dem. Rep. Congo: Upper Congo.
1588,FALSE Peters,Tana River Mangabey,"Kenya, Tana River, Mitole (2°10'S, 40°10'E)."
1589,FALSE Mittermeier,Sanje Mangabey,"Tanzania, Mwanihana Forest, Sanje Waterfall."
1590,FALSE Kerr,Collared Mangabey,West Africa.
1591,FALSE Linnaeus,,
1592,FALSE Sykes,,Angola.
1593,FALSE Sykes,,Angola.
1594,FALSE Pousargues,,
1595,FALSE Peters,,
1596,FALSE Thomas,,
1597,FALSE Lönnberg,,
1598,FALSE Neumann,,
1599,FALSE I. Geoﬀroy,,
1600,FALSE Sclater,,
1601,FALSE I. Geoﬀroy,,
1602,FALSE Schwarz,,
1603,FALSE Roberts,,
1604,FALSE de Beaux,,
1605,FALSE Audebert,Red-tailed Monkey,"Angola (NW, by lower Congo River). See Machado (1969)."
1606,FALSE Audebert,,"Angola (NW, by lower Congo River). See Machado (1969)."
1607,FALSE Machado,,
1608,FALSE Lönnberg,,
1609,FALSE Matschie,,
1610,FALSE Thomas,,
1611,FALSE Waterhouse,Campbell’s Mona Monkey,Sierra Leone.
1612,FALSE Linnaeus,Moustached Guenon,Africa.
1613,FALSE Linnaeus,,Africa.
1614,FALSE Pocock,,
1615,FALSE Colyn,,
1616,FALSE Thomas,Dent’s Mona Monkey,"Dem. Rep. Congo, between Mawambi and Avakubi, Ituri Forest."
1617,FALSE Linnaeus,,Liberia.
1618,FALSE Pocock,,Uganda: SW Ankole.
1619,FALSE Schwartz,,"Dem. Rep. Congo, Ikela Zone, Yapatsi. (See Thys van den Audenaerde, 1977:1006)."
1620,FALSE Gray,White-throated Guenon,"""West Africa""; restricted by Groves (2001<i>c</i>:214) to Benin, Lama Forest."
1621,FALSE Gray,,"""West Africa""; restricted by Groves (2001<i>c</i>:214) to Benin, Lama Forest."
1622,"FALSE Grubb, Lernould and Oates",,
1623,FALSE Waterhouse,Red-eared Guenon,"Equatorial Guinea, Bioko."
1624,FALSE Waterhouse,,"Equatorial Guinea, Bioko."
1625,FALSE Hayman,,
1626,FALSE Pocock,Hamlyn’s Monkey,"Dem. Rep. Congo, Ituri Forest."
1627,FALSE Pocock,,"Dem. Rep. Congo, Ituri Forest."
1628,FALSE Colyn and Verheyen,,
1629,FALSE Matschie,,"Dem. Rep. Congo, Virunga Volcanoes."
1630,"FALSE P
. Sclater",L’Hoest’s Monkey,"Dem. Rep. Congo, Tschepo River, near Stanleyville."
1631,FALSE Thomas,Lowe’s Mona Monkey,Côte d’Ivoire: Bandama.
1632,FALSE Wolf,,Angola.
1633,FALSE Wolf,,Angola.
1634,FALSE Giglioli,,
1635,FALSE Lönnberg,,
1636,FALSE Colyn and Verheyen,,
1637,FALSE Sclater,,
1638,FALSE Matschie,,
1639,FALSE Schreber,,"""Guinea""."
1640,FALSE Schlegel,De Brazza’s Monkey,"Sudan, ""White Nile""."
1641,FALSE Linnaeus,Greater spot-nosed Monkey,"Equatorial Guinea, Benito River."
1642,FALSE Linnaeus,,"Equatorial Guinea, Benito River."
1643,FALSE Waterhouse,,
1644,FALSE Schreber,Lesser Spot-nosed Monkey,"""Guinea""."
1645,FALSE Schreber,,"""Guinea""."
1646,FALSE Jentink,,
1647,FALSE Bennett,Crested Mona Monkey,"Equatorial Guinea, Bioko."
1648,FALSE Bennett,,"Equatorial Guinea, Bioko."
1649,FALSE Fraser,,
1650,FALSE du Chaillu,,
1651,FALSE Schouteden,,
1652,FALSE Matschie,Preuss’s Monkey,"Cameroon, Victoria."
1653,FALSE Matschie,,"Cameroon, Victoria."
1654,FALSE Thomas,,
1655,FALSE Schreber,Roloway Monkey,"""Guinea"" (= West Africa in general)."
1656,FALSE Pocock,Sclater’s Guenon,"Nigeria, Benin City."
1657,FALSE M. J. S. Harrison,Sun-tailed Monkey,"C Gabon, SE of Booue, Foręt des Abeilles, River Bali, 0°14'S, 12°15'E."
1658,FALSE A. Meyer,Wolf’s Mona Monkey,"""Central West Africa."""
1659,FALSE A. Meyer,,"""Central West Africa."""
1660,FALSE Dubois and Matschie,,
1661,FALSE Gray,,
1662,FALSE Linnaeus,,"Sudan, Sennaar."
1663,FALSE Scopoli,,"Dem. Rep. Congo, Lower Congo, Banana."
1664,FALSE Neumann,Bale Mountains Vervet,"Ethiopia, bamboo forest near Abera, east of Lake Abaya, 3300 m."
1665,"FALSE F
. Cuvier",,"""Africa""."
1666,"FALSE F
. Cuvier",,"""Africa""."
1667,FALSE Schwarz,,
1668,FALSE Neumann,,
1669,FALSE Schwarz,,
1670,FALSE I. Geoﬀroy,,
1671,FALSE Linnaeus,,Cape Verde Isls.
1672,FALSE Ogilby,Tantalus Monkey,No locality.
1673,FALSE Ogilby,,No locality.
1674,FALSE Pocock,,
1675,FALSE Thomas and Hinton,,
1676,FALSE Trouessart,,
1677,FALSE Schreber,,Senegal.
1678,FALSE Palmer,,
1679,FALSE Gray,Gray-cheeked Mangabey,"Dem. Rep. Congo, Mayombe."
1680,FALSE Gray,,"Dem. Rep. Congo, Mayombe."
1681,FALSE Lydekker,,
1682,FALSE Groves,,
1683,FALSE Oudemans,Black Crested Mangabey,"Dem. Rep. Congo, Stanley Falls."
1684,FALSE Scouteden,Opdenbosch’s Mangabey,"Dem. Rep. Congo, Mwiliambongo."
1685,FALSE Lacépčde,,
1686,FALSE I. Geoﬀroy,Stump-tailed Macaque,"""Cochin-China"" (Indochina)."
1687,FALSE M'Clelland,Assam Macaque,"India, Assam."
1688,FALSE M'Clelland,,"India, Assam."
1689,FALSE Hodgson,,
1690,FALSE Swinhoe,Formosan Rock Macaque,"Taiwan, Jusan, Takao Pref.
Taiwan."
1691,FALSE Raﬄes,Crab-eating Macaque,"Indonesia, Sumatra, Bengkulen."
1692,FALSE Raﬄes,,"Indonesia, Sumatra, Bengkulen."
1693,FALSE Kloss,,
1694,FALSE É. Geoﬀroy,,
1695,FALSE Kloss,,
1696,FALSE Miller,,
1697,FALSE Sody,,
1698,FALSE Lyon,,
1699,FALSE I. Geoﬀroy,,
1700,FALSE Kellogg,,
1701,FALSE Miller,,
1702,FALSE Blyth,Japanese Macaque,Japan.
1703,FALSE Blyth,,Japan.
1704,FALSE Kuroda,,
1705,FALSE Matschie,Heck’s Macaque,"Indonesia, Sulawesi Tengah, Buol."
1706,FALSE Blyth,Northern Pig-tailed Macaque,"Burma, N Arakan."
1707,FALSE H. R. Schinz,,"Indonesia, Sulawesi Selatan."
1708,FALSE Zimmermann,Rhesus Monkey,"India, Nepal Terai."
1709,FALSE Linnaeus,Southern Pig-tailed Macaque,"Indonesia, Sumatra."
1710,FALSE Desmarest,Celebes Crested Macaque,"Indonesia, Sulawesi, Maluku, Bacan Isl."
1711,FALSE Temminck,Gorontalo Macaque,"Indonesia, Sulawesi (""Celebes"")."
1712,FALSE Ogilby,Booted Macaque,Unknown.
1713,FALSE Ogilby,,Unknown.
1714,FALSE Matschie,,
1715,FALSE Miller,Pagai Island Macaque,"Indonesia, South Pagai Isl."
1716,FALSE É. Geoﬀroy,Bonnet Macaque,"India; see Osman Hill (1974).
S India."
1717,FALSE Fuentes and Olson,Siberut Macaque,"Indonesia, Siberut Isl."
1718,FALSE Linnaeus,Lion-tailed Macaque,"""Ceylon"" India, Western Ghats; see Osman Hill (1974:652)."
1719,FALSE Linnaeus,Toque Macaque,Probably Sri Lanka; see Fooden (1979).
1720,FALSE Linnaeus,,Probably Sri Lanka; see Fooden (1979).
1721,FALSE Pocock,,
1722,FALSE Linnaeus,Barbary Macaque,"North Africa, ""Barbary coast""."
1723,FALSE Milne-Edwards,Milne-Edwards’ Macaque,"China, Szechwan, Moupin."
1724,FALSE Milne-Edwards,,"China, Szechwan, Moupin."
1725,FALSE Matschie,,
1726,FALSE Wang and Jiang,,
1727,FALSE Jiang and Wang,,
1728,FALSE Meyer,Tonkean Macaque,"Indonesia, Sulawesi Tengah, Tonkean."
1729,FALSE Ritgen,,
1730,"FALSE F
. Cuvier",,Africa.
1731,"FALSE F
. Cuvier",,Africa.
1732,FALSE Zukowsky,,
1733,FALSE Linnaeus,,"Cameroon, Ja River, Bitye."
1734,FALSE I. Geoﬀroy,,
1735,FALSE Kingdon,,"""Endemic to the equatorial coastal watersheds between Cabinda and the River Nyong"". S Cameroon, Rio Muni, Gabon, Angola (Cabinda)."
1736,FALSE Schreber,Angolan Talapoin,Angola.
1737,FALSE Erxleben,,
1738,FALSE Lesson,,Upper Nile.
1739,FALSE Linnaeus,,"Kenya, inland from Mombasa."
1740,FALSE Linnaeus,,"Kenya, inland from Mombasa."
1741,FALSE Thomas,,
1742,FALSE Lönnberg,,
1743,FALSE Linnaeus,Hamadryas Baboon,Egypt.
1744,FALSE Desmarest,,"""Coast of Guinea""."
1745,FALSE Kerr,Chacma Baboon,"South Africa, Western Cape Prov., Cape of Good Hope."
1746,FALSE Kerr,,"South Africa, Western Cape Prov., Cape of Good Hope."
1747,FALSE Pocock,,
1748,FALSE Shortridge,,
1749,FALSE I. Geoﬀroy,,
1750,FALSE Rüppell,,"Ethiopia, Semyen (Simien)."
1751,FALSE Rüppell,,"Ethiopia, Semyen (Simien)."
1752,FALSE Heuglin,,
1753,FALSE Jerdon,,
1754,FALSE Illiger,,
1755,"FALSE P
. Sclater",,"Angola, 300 mi. (483 km) inland from Bembe."
1756,"FALSE P
. Sclater",,"Angola, 300 mi. (483 km) inland from Bembe."
1757,FALSE Rahm,,
1758,FALSE Lydekker,,
1759,FALSE Peters,,
1760,FALSE Verheyen,,
1761,FALSE Thomas,,
1762,FALSE Rüppell,Mantled Guereza,"Ethiopia, Gojjam and Kulla."
1763,FALSE Rüppell,,"Ethiopia, Gojjam and Kulla."
1764,FALSE Thomas,,
1765,FALSE Matschie,,
1766,FALSE Lönnberg,,
1767,FALSE Neumann,,
1768,FALSE Rochebrune,,
1769,FALSE Heller,,
1770,FALSE Zimmermann,,Sierra Leone.
1771,FALSE Waterhouse,,"Equatorial Guinea, Bioko."
1772,FALSE Waterhouse,,"Equatorial Guinea, Bioko."
1773,FALSE Leconte,,
1774,FALSE I. Geoﬀroy,,"""Africa""."
1775,FALSE É. Geoﬀroy,,
1776,FALSE Wurmb,Proboscis Monkey,"Indonesia, W Kalimantan, Pontianak.
Borneo."
1777,FALSE Rochebrune,,
1778,FALSE Kerr,Western Red Colobus,Sierra Leone.
1779,FALSE Kerr,,Sierra Leone.
1780,FALSE Kuhl,,
1781,FALSE Hayman,,
1782,FALSE de Pousargues,Central African Red Colobus,"Dem. Rep. Congo, between SW of Lake Tanganyika and upper Congo, Ouroua."
1783,FALSE de Pousargues,,"Dem. Rep. Congo, between SW of Lake Tanganyika and upper Congo, Ouroua."
1784,FALSE Dollman,,
1785,FALSE Trouessart,,
1786,FALSE Colyn and Verheyen,,
1787,FALSE Colyn,,
1788,FALSE Matschie,Uzungwa Red Colobus,"Tanzania, Uzungwa Mtns."
1789,FALSE Gray,Zanzibar Red Colobus,"Tanzania, Zanzibar.
Zanzibar."
1790,FALSE Waterhouse,Pennant’s Red Colobus,"Equatorial Guinea, Bioko."
1791,FALSE Waterhouse,,"Equatorial Guinea, Bioko."
1792,FALSE Rochebrune,,
1793,FALSE Grubb and Powell,,
1794,FALSE Matschie,Preuss’s Red Colobus,"Cameroon, Barombi (on Elephant Lake)."
1795,FALSE Peters,Tana River Red Colobus,"Kenya, Tana River, Muniuni."
1796,FALSE Elliot,Ugandan Red Colobus,"Uganda, Toro, Ruahara River, east side of Rwenzoris."
1797,FALSE Milne-Edwards,Thollon’s Red Colobus,"Dem. Rep. Congo, Lower Congo."
1798,FALSE Eschscholtz,,
1799,FALSE Müller,,"Indonesia, Pontianak."
1800,FALSE Müller,,"Indonesia, Pontianak."
1801,FALSE Thomas,,
1802,FALSE Desmarest,,"Indonesia, W Java."
1803,FALSE Desmarest,,"Indonesia, W Java."
1804,FALSE Sody,,
1805,SPECIES yes,,Singapore.
1806,SUBSPECIES yes,,Singapore.
1807,SUBSPECIES yes,,
1808,SUBSPECIES yes,,
1809,SPECIES yes,White-fronted Langur,"Indonesia, SE Kalimantan: Murung and ""Pulu Lampy"", near Banjarmasin, Pematang, Kuala (Medway, 1965:82)."
1810,SPECIES yes,,"Malaysia, Sarawak, Niah."
1811,SUBSPECIES yes,,"Malaysia, Sarawak, Niah."
1812,SUBSPECIES yes,,
1813,SUBSPECIES yes,,
1814,SUBSPECIES yes,,
1815,SPECIES yes,,"Indonesia, Sumatra, Bengkulen."
1816,SUBSPECIES yes,,"Indonesia, Sumatra, Bengkulen."
1817,SUBSPECIES yes,,
1818,SUBSPECIES yes,,
1819,SUBSPECIES yes,,
1820,SPECIES yes,Natuna Island Surili,"Indonesia, North Natuna Isl, Bunguran."
1821,SPECIES yes,Mentawai Langur,"Indonesia, W Sumatra, Sipora Isl."
1822,SUBSPECIES yes,,"Indonesia, W Sumatra, Sipora Isl."
1823,SUBSPECIES yes,,
1824,SPECIES yes,Maroon Leaf-Monkey,"Indonesia, S Kalimantan, Mt. Sekumbang (SE of Banjermasin)."
1825,SUBSPECIES yes,,"Indonesia, S Kalimantan, Mt. Sekumbang (SE of Banjermasin)."
1826,SUBSPECIES yes,,
1827,SUBSPECIES yes,,
1828,SUBSPECIES yes,,
1829,SUBSPECIES yes,,
1830,SPECIES yes,White-thighed Surili,"Malaya, Melaka."
1831,SUBSPECIES yes,,"Malaya, Melaka."
1832,SUBSPECIES yes,,
1833,SUBSPECIES yes,,
1834,SUBSPECIES yes,,
1835,SPECIES yes,Thomas’s Langur,"Indonesia, Sumatra, Aceh, Langkat."
1836,GENUS yes,,
1837,SPECIES yes,,Africa.
1838,GENUS yes,,
1839,SPECIES yes,Gray-shanked Douc Langur,"Vietnam, Gia Lai Province, Play Ku, 13°59’N, 108°00’E."
1840,SPECIES yes,Red-shanked Douc Langur,Cochin-China (Indo-China).
1841,SPECIES yes,Black-shanked Douc Langur,"Vietnam, Saigon."
1842,GENUS yes,,
1843,SPECIES yes,Tonkin Snub-nosed Monkey,"Vietnam, Songkoi River, Yen Bay."
1844,SPECIES yes,Black Snub-nosed Monkey,"China, Yunnan, left bank of upper Mekong, Kiape, 28°25'N, 98°55'E, ""a day's journey south of Atentse."""
1845,SPECIES yes,Gray Snub-nosed Monkey,"China, N Kweichow, Van Gin Shan Range."
1846,SPECIES yes,Golden Snub-nosed Monkey,"China, Sichuan, Moupin (= Baoxing, 30°26'N, 102°50'E)."
1847,SUBSPECIES yes,,"China, Sichuan, Moupin (= Baoxing, 30°26'N, 102°50'E)."
1848,SUBSPECIES yes,,
1849,SUBSPECIES yes,,
1850,GENUS yes,,
1851,SPECIES yes,Kashmir Gray Langur,"India, Chamba, Deolah, 1800 m."
1852,SPECIES yes,Southern Plains Gray Langur,"India, Malabar coast, Mahé."
1853,SPECIES yes,Northern Plains Gray Langur,"India, Bengal."
1854,SPECIES yes,Tarai Gray Langur,"India, Kumaun, Ramnagar, Sitabani, 600 m."
1855,SPECIES yes,Black-footed Gray Langur,"India, Travancore."
1856,SPECIES yes,Tufted Gray Langur,"India, Coromandel Coast."
1857,SPECIES yes,Nepal Gray Langur,Nepal.
1858,GENUS yes,,
1859,SPECIES yes,,"Indonesia, W Sumatra, S Pagai Isl."
1860,GENUS yes,,
1861,SUBGENUS yes,,
1862,SUBGENUS ,,
1863,SPECIES yes,,"Java, Semarang (Müller, 1840:16)."
1864,SUBSPECIES yes,,"Java, Semarang (Müller, 1840:16)."
1865,SUBSPECIES yes,,
1866,SPECIES yes,Tenasserim Lutung,"Burma, Ye south of Moulmein."
1867,SPECIES yes,,"Indonesia, Sumatra, Bengkulen (Bengkulu)."
1868,SUBSPECIES yes,,"Indonesia, Sumatra, Bengkulen (Bengkulu)."
1869,SUBSPECIES yes,,
1870,SPECIES yes,Delacour’s Langur,"Vietnam, Hoi Xuan."
1871,SPECIES yes,Indochinese Black Langur,"""Indo China"": probably either Lai Chau or Fan Si Pan chain (ca. 22°30’N, 103°50’E) according to Brandon-Jones (1995)."
1872,SPECIES yes,François’ Langur,"China, Kwangsi, Lungchow."
1873,SPECIES yes,Gee’s Golden Langur,"India, Assam, Goalpara Dist., Jamduar Forest Rest House, east bank of Sankosh River."
1874,SUBSPECIES yes,,"India, Assam, Goalpara Dist., Jamduar Forest Rest House, east bank of Sankosh River."
1875,SUBSPECIES yes,,
1876,SPECIES yes,Indochinese Lutung,Cochin-china and Cambodia.
1877,SUBSPECIES yes,,Cochin-china and Cambodia.
1878,SUBSPECIES yes,,
1879,SPECIES yes,,"Vietnam, Ha-tinh, Xom-cuc."
1880,SPECIES yes,,"India, Tellicherry.
S India."
1881,SPECIES yes,,"Laos, Ban Na Săo, on the Mekong at 17°30’N.
C Laos."
1882,SPECIES yes,Dusky Leaf-monkey,"Malaysia, Malacca."
1883,SUBSPECIES yes,,"Malaysia, Malacca."
1884,SUBSPECIES yes,,
1885,SUBSPECIES yes,,
1886,SUBSPECIES yes,,
1887,SUBSPECIES yes,,
1888,SUBSPECIES yes,,
1889,SUBSPECIES yes,,
1890,SPECIES yes,Phayre’s Leaf-monkey,"Burma, Arakan."
1891,SUBSPECIES yes,,"Burma, Arakan."
1892,SUBSPECIES yes,,
1893,SUBSPECIES yes,,
1894,SPECIES yes,,"India, Assam."
1895,SUBSPECIES yes,,"India, Assam."
1896,SUBSPECIES yes,,
1897,SUBSPECIES yes,,
1898,SUBSPECIES yes,,
1899,SPECIES yes,White-headed Langur,"Vietnam, Cat Ba Isl (restricted by Brandon-Jones, 1995)."
1900,SUBSPECIES yes,,"Vietnam, Cat Ba Isl (restricted by Brandon-Jones, 1995)."
1901,SUBSPECIES yes,,
1902,SPECIES yes,Shortridge’s Langur,"Burma, Homalin (upper Chindwin)."
1903,SPECIES <i>Cercopithecus vetulus</i>,Purple-faced Langur,"Sri Lanka, Hill country of South.
Sri Lanka."
1904,SUBSPECIES yes,,"Sri Lanka, Hill country of South."
1905,SUBSPECIES yes,,
1906,SUBSPECIES yes,,
1907,SUBSPECIES yes,,
1908,SUPERFAMILY FALSE yes,,
1909,FAMILY yes,,
1910,GENUS yes,,
1911,SPECIES yes,Hoolock Gibbon,"India, Assam, Garo Hills."
1912,SUBSPECIES yes,,"India, Assam, Garo Hills."
1913,SUBSPECIES yes,,
1914,GENUS yes,,
1915,SPECIES yes,,"Indonesia, W Sumatra."
1916,SPECIES yes,Bornean White-bearded Gibbon,"Indonesia, W Borneo, Sukadana."
1917,SPECIES yes,,"Indonesia, West Sumatra, S Pagai Isl."
1918,SPECIES yes,,"Malaysia, Malacca (restricted by Kloss, 1929)."
1919,SUBSPECIES yes,,"Malaysia, Malacca (restricted by Kloss, 1929)."
1920,SUBSPECIES yes,,
1921,SUBSPECIES yes,,
1922,SUBSPECIES yes,,
1923,SUBSPECIES yes,,
1924,SPECIES yes,Silvery Javan Gibbon,"Indonesia, W Java, Mt. Salak (restricted by Sody, 1949<i>b</i>)."
1925,SPECIES yes,Müller’s Bornean Gibbon,"Indonesia, Kalimantan, ""Southeast Borneo""; restricted by Lyon (1911:142)."
1926,SUBSPECIES yes,,"Indonesia, Kalimantan, ""Southeast Borneo""; restricted by Lyon (1911:142)."
1927,SUBSPECIES yes,,
1928,SUBSPECIES yes,,
1929,SPECIES yes,Pileated Gibbon,Cambodia.
1930,GENUS yes,,
1931,SPECIES yes,Black Crested Gibbon,"Vietnam, Tonkin."
1932,SUBSPECIES yes,,"Vietnam, Tonkin."
1933,SUBSPECIES yes,,
1934,"jingdongensis
SUBSPECIES yes",,
1935,"lu
SUBSPECIES yes",,
1936,"nasutus
SUBSPECIES yes",,
1937,SPECIES yes,Red-cheeked Gibbon,"Vietnam, Langbian."
1938,SPECIES yes,,China: Hainan Isl.
1939,SPECIES yes,Northern White-cheeked Gibbon,"Laos, Muang Khi (Fooden, 1987)."
1940,SPECIES yes,Southern White-cheeked Gibbon,"Vietnam, Thua Luu."
1941,GENUS yes,,
1942,SPECIES yes,,"Indonesia, W Sumatra, Bengkeulen."
1943,FAMILY yes,,
1944,GENUS yes,,
1945,SPECIES yes,,"Rwanda, Mt. Sabinyo."
1946,"beringei
SUBSPECIES yes",,"Rwanda, Mt. Sabinyo."
1947,"graueri
SUBSPECIES yes",,
1948,SPECIES yes,,"Gabon, Gabon Estuary, Mpongwe country."
1949,"gorilla
SUBSPECIES yes",,"Gabon, Gabon Estuary, Mpongwe country."
1950,"diehli
SUBSPECIES yes",,
1951,GENUS yes,,
1952,SPECIES yes,,"Sweden, Uppsala."
1953,GENUS yes,,
1954,SPECIES yes,,"Dem. Rep. Congo, south of the upper Maringa River, 30 km south of Befale."
1955,SPECIES yes,Common Chimpanzee,"Gabon, Mayoumba."
1956,"troglodytes
SUBSPECIES yes",,"Gabon, Mayoumba."
1957,"schweinfurthii
SUBSPECIES yes",,
1958,"vellerosus
SUBSPECIES yes",,
1959,"verus
SUBSPECIES yes",,
1960,GENUS yes,,
1961,SPECIES yes,Sumatran Orangutan,"Indonesia, Sumatra."
1962,SPECIES yes,Bornean Orangutan,"Indonesia, Kalimantan, Landak River."
1963,"pygmaeus
SUBSPECIES yes",,"Indonesia, Kalimantan, Landak River."
1964,"morio
SUBSPECIES yes",,
1965,"wurmbii
SUBSPECIES yes",,
1966,ORDER YES,,
1967,SUBORDER YES,,
1968,FAMILY YES,,
1969,GENUS YES,,
1970,SPECIES YES,,"USA, Oregon, neighborhood of Columbia River. Specimens from Marmot, Clackamas County, Oregon are considered typical (Taylor, 1918)."
1971,"rufa
SUBSPECIES YES",,"USA, Oregon, neighborhood of Columbia River. Specimens from Marmot, Clackamas County, Oregon are considered typical (Taylor, 1918)."
1972,"californica
SUBSPECIES YES",,
1973,"humboldtiana
SUBSPECIES YES",,
1974,"nigra
SUBSPECIES YES",,
