,ID,Scientific name
912,11800013,variegatus 
913,11800014,variegatus 
914,11800015,variegatus 
915,11800016, 
916,11800017, 
917,11800018,didactylus 
918,11800019,hoﬀmanni 
919,11800020,hoﬀmanni 
920,11800021,hoﬀmanni 
921,11800022,hoﬀmanni 
922,11800023,hoﬀmanni 
923,11800024,hoﬀmanni 
924,11800025, 
925,11800026, 
926,11800027, 
927,11800028,didactylus 
928,11800029,didactylus 
929,11800030,didactylus 
930,11800031,didactylus 
931,11800032,didactylus eva
932,11800033,didactylus ida
933,11800034,didactylus 
934,11800035,didactylus 
935,11800036, 
936,11800037, 
937,11800038,tridactyla 
938,11800039,tridactyla 
939,11800040,tridactyla 
940,11800041,tridactyla 
941,11800042, 
942,11800043,mexicana 
943,11800044,mexicana 
944,11800045,mexicana 
945,11800046,mexicana 
946,11800047,mexicana 
947,11800048,tetradactyla 
948,11800049,tetradactyla 
949,11800050,tetradactyla 
950,11800051,tetradactyla 
951,11800052,tetradactyla 
952,11900001, 
953,11900002, 
954,11900003, 
955,11900004,ellioti 
956,11900005, 
957,11900006,melanura 
958,11900007,melanura 
959,11900008,melanura 
960,11900009,murina 
961,11900010, 
962,11900011,belangeri 
963,11900012,belangeri 
964,11900013,belangeri 
965,11900014,chrysogaster 
966,11900015,dorsalis 
967,11900016,glis 
968,11900017,gracilis 
969,11900018,gracilis 
970,11900019,gracilis 
971,11900020,gracilis 
972,11900021,javanica 
973,11900022,longipes 
974,11900023,longipes 
975,11900024,longipes 
976,11900025,minor 
977,11900026,minor 
978,11900027,minor 
979,11900028,minor 
980,11900029,minor 
981,11900030,moellendorﬃ 
982,11900031,moellendorﬃ 
983,11900032,moellendorﬃ 
984,11900033,moellendorﬃ 
985,11900034,montana 
986,11900035,montana 
987,11900036,montana 
988,11900037,nicobarica 
989,11900038,nicobarica 
990,11900039,nicobarica 
991,11900040,palawanensis 
992,11900041,picta 
993,11900042,picta 
994,11900043,picta 
995,11900044,splendidula 
996,11900045,splendidula 
997,11900046,splendidula 
998,11900047,splendidula 
999,11900048,splendidula 
1000,11900049,splendidula 
1001,11900050,tana 
1002,11900051,tana 
1003,11900052,tana 
1004,11900053,tana 
1005,11900054,tana 
1006,11900055,tana 
1007,11900056,tana 
1008,11900057,tana 
1009,11900058,tana 
1010,11900059,tana 
1011,11900060,tana 
1012,11900061,tana 
1013,11900062,tana 
1014,11900063,tana 
1015,11900064,tana 
1016,11900065,tana 
1017,11900066, 
1018,11900067,everetti 
1019,11900068, 
1020,11900069, 
1021,11900070,lowii 
1022,11900071,lowii 
1023,11900072,lowii 
1024,12000001, 
1025,12000002, 
1026,12000003, 
1027,12000004,volans 
1028,12000005, 
1029,12000006,variegates 
1030,12100001, 
1031,12100002, 
