,ID,Scientific name
200,10800107,Sminthopsis virginiae
201,10800108,Sminthopsis virginiae
202,10800109,Sminthopsis youngsoni
203,10800110, 
204,10800111,Planigale 
205,10800112,Planigale gilesi
206,10800113,Planigale ingrami
207,10800114,Planigale ingrami
208,10800115,Planigale ingrami
209,10800116,Planigale ingrami
210,10800117,Planigale maculata
211,10800118,Planigale maculata
212,10800119,Planigale maculata
213,10800120,Planigale novaeguineae
214,10800121,Planigale tenuirostris
215,10900001, 
216,10900002, 
217,10900003,Macrotis 
218,10900004,Macrotis lagotis
219,10900005,Macrotis leucura
220,10900006, 
221,10900007,Chaeropus 
222,10900008,Chaeropus ecaudatus
223,10900009, 
224,10900010, 
225,10900011,Isoodon 
226,10900012,Isoodon auratus
227,10900013,Isoodon auratus
228,10900014,Isoodon auratus
229,10900015,Isoodon auratus
230,10900016,Isoodon macrourus
231,10900017,Isoodon macrourus
232,10900018,Isoodon macrourus
233,10900019,Isoodon obesulus
234,10900020,Isoodon obesulus
235,10900021,Isoodon obesulus
236,10900022,Perameles 
237,10900023,Perameles bougainville
238,10900024,Perameles eremiana
239,10900025,Perameles gunnii
240,10900026,Perameles nasuta
241,10900027, 
242,10900028,Peroryctes 
243,10900029,Peroryctes broadbenti
244,10900030,Peroryctes raﬀrayana
245,10900031,Peroryctes raﬀrayana
246,10900032,Peroryctes raﬀrayana
247,10900033, 
248,10900034,Echymipera 
249,10900035,Echymipera clara
250,10900036,Echymipera davidi
251,10900037,Echymipera echinista
252,10900038,Echymipera kalubu
253,10900039,Echymipera kalubu
254,10900040,Echymipera kalubu
255,10900041,Echymipera kalubu
256,10900042,Echymipera kalubu
257,10900043,Echymipera rufescens
258,10900044,Echymiperinae 
259,10900045,Echymiperinae 
260,10900046,Echymiperinae 
261,10900047,Echymiperinae 
262,10900048,Echymiperinae 
263,10900049,Echymiperinae 
264,10900050,Echymiperinae 
265,10900051,Echymiperinae 
266,10900052,Echymiperinae 
267,10900053,Echymiperinae 
268,10900054,Echymiperinae 
269,11000001, 
270,11000002, 
271,11000003, 
272,11000004, 
273,11000005, 
274,11000006, 
275,11000007, 
276,11000008, 
277,11000009, 
278,11000010, 
279,11000011, 
280,11000012, 
281,11000013, 
282,11000014, 
283,11000015, 
284,11000016, 
285,11000017, 
286,11000018, 
287,11000019, 
288,11000020, 
289,11000021, 
290,11000022, 
291,11000023, 
292,11000024, 
293,11000025, 
294,11000026, 
295,11000027, 
296,11000028, 
297,11000029, 
298,11000030, 
299,11000031, 
300,11000032,Ailuropinae 
301,11000033,Ailuropinae 
302,11000034,Ailuropinae 
